,anime_id,title,title_english,genre
0,1,Cowboy Bebop,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space"
1,5,Cowboy Bebop: Tengoku no Tobira,Cowboy Bebop: The Movie,"Action, Space, Drama, Mystery, Sci-Fi"
2,6,Trigun,Trigun,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen"
3,7,Witch Hunter Robin,Witch Hunter Robin,"Action, Magic, Police, Supernatural, Drama, Mystery"
4,8,Beet the Vandel Buster,Beet the Vandel Buster,"Adventure, Fantasy, Shounen, Supernatural"
5,15,Eyeshield 21,,"Action, Sports, Comedy, Shounen"
6,16,Hachimitsu to Clover,Honey and Clover,"Comedy, Drama, Josei, Romance, Slice of Life"
7,17,Hungry Heart: Wild Striker,,"Slice of Life, Comedy, Sports, Shounen"
8,18,Initial D Fourth Stage,,"Action, Cars, Sports, Drama, Seinen"
9,19,Monster,Monster,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller"
10,20,Naruto,Naruto,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
11,21,One Piece,One Piece,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen"
12,22,Tennis no Ouji-sama,The Prince of Tennis,"Action, Comedy, Sports, School, Shounen"
13,23,Ring ni Kakero 1,,"Action, Shounen, Sports"
14,24,School Rumble,School Rumble,"Comedy, Romance, School, Shounen"
15,25,Sunabouzu,Desert Punk,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen"
16,26,Texhnolyze,Texhnolyze,"Action, Sci-Fi, Psychological, Drama"
17,27,Trinity Blood,Trinity Blood,"Action, Supernatural, Vampire"
18,28,Yakitate!! Japan,Yakitate!! Japan,"Comedy, Shounen"
19,29,Zipang,,"Action, Military, Sci-Fi, Historical, Drama, Seinen"
20,30,Neon Genesis Evangelion,Neon Genesis Evangelion,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha"
21,31,Neon Genesis Evangelion: Death & Rebirth,Neon Genesis Evangelion: Death & Rebirth,"Drama, Mecha, Psychological, Sci-Fi"
22,32,Neon Genesis Evangelion: The End of Evangelion,Neon Genesis Evangelion: The End of Evangelion,"Sci-Fi, Dementia, Psychological, Drama, Mecha"
23,33,Kenpuu Denki Berserk,Berserk,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural"
